date,close,volume,open,high,low
6/12/15,127.17,36826260,128.185,128.33,127.11
6/11/15,128.59,35344520,129.18,130.18,128.475
6/10/15,128.88,39029190,127.92,129.34,127.85
6/9/15,127.42,56002840,126.7,128.08,125.62
6/8/15,127.8,52609900,128.9,129.21,126.83
6/5/15,128.65,35577760,129.5,129.69,128.36
6/4/15,129.36,38335980,129.58,130.58,128.91
6/3/15,130.12,30939810,130.66,130.94,129.9
6/2/15,129.96,33595980,129.86,130.655,129.32
6/1/15,130.535,32016020,131.2,131.39,130.05
5/29/15,130.28,50474170,131.23,131.45,129.9
5/28/15,131.78,30678840,131.86,131.95,131.1
5/27/15,132.045,45771120,130.34,132.26,130.05
5/26/15,129.62,70544670,132.6,132.91,129.12
5/22/15,132.54,45469340,131.6,132.97,131.4
5/21/15,131.39,39589780,130.07,131.63,129.83
5/20/15,130.06,36261170,130,130.98,129.34
5/19/15,130.07,44395440,130.69,130.88,129.64
5/18/15,130.19,50723240,128.38,130.72,128.36
5/15/15,128.77,38128470,129.07,129.49,128.21
5/14/15,128.95,45123920,127.41,128.95,127.16
5/13/15,126.01,34611600,126.15,127.19,125.87
5/12/15,125.865,48073450,125.6,126.88,124.82
5/11/15,126.32,41920740,127.39,127.56,125.625
5/8/15,127.62,55473820,126.68,127.62,126.11
5/7/15,125.26,42653920,124.77,126.08,124.02
5/6/15,125.01,72037370,126.56,126.75,123.36
5/5/15,125.8,49127770,128.15,128.4498,125.78
5/4/15,128.7,50905020,129.5,130.57,128.26
5/1/15,128.95,57349000,126.1,130.13,125.3
4/30/15,125.15,82924980,127.5,127.88,124.58
4/29/15,128.64,63063240,130.16,131.59,128.3
4/28/15,130.56,118693700,134.455,134.54,129.57
4/27/15,132.65,95084260,132.31,133.13,131.15
4/24/15,130.28,44209710,130.49,130.63,129.23
4/23/15,129.67,45596690,128.3,130.42,128.14
4/22/15,128.62,37575420,126.99,128.87,126.32
4/21/15,126.91,32341380,128.1,128.2,126.67
4/20/15,127.6,46975110,125.57,128.12,125.17
4/17/15,124.75,51481310,125.55,126.14,124.46
4/16/15,126.17,28020240,126.28,127.1,126.11
4/15/15,126.78,28922420,126.41,127.13,126.01
4/14/15,126.3,25418280,127,127.29,125.91
4/13/15,126.85,36248620,128.37,128.57,126.61
4/10/15,127.1,40125760,125.95,127.21,125.26
4/9/15,126.56,32244360,125.85,126.58,124.66
4/8/15,125.6,37272090,125.85,126.4,124.97
4/7/15,126.01,34894810,127.64,128.1218,125.98
4/6/15,127.35,36917490,124.47,127.51,124.33
4/2/15,125.32,32171410,125.03,125.56,124.19
4/1/15,124.25,40463140,124.82,125.12,123.1
